Titik	Latitude	Longitude	Keterangan	Waktu1	Waktu2	Waktu3	F1	F2	F3
K.07	9225390	672582	-	2022-04-23 04:20:17	2022-04-23 04:20:27	2022-04-23 04:20:37	45095.16		45095.99
K.08	9225380	672589	-	2022-04-23 04:18:40	2022-04-23 04:18:51	2022-04-23 04:19:01	45284.09		45284.96
K.09	9225380	672596	-	2022-04-23 04:17:18	2022-04-23 04:17:27	2022-04-23 04:17:37		44775.34	44777.51
K.10	9225370	672603	-	2022-04-23 04:15:49	2022-04-23 04:16:00	2022-04-23 04:16:10	44997.18	44995.75	44995.93
K.11	9225360	672610	-	2022-04-23 04:14:07	2022-04-23 04:14:17	2022-04-23 04:14:27	45049.02	45050.71	45050.42
K.12	9225350	672618	-	2022-04-23 04:12:30	2022-04-23 04:12:40	2022-04-23 04:12:50	45435.16	45437.4	
K.14	9225340	672632	-	2022-04-23 04:09:41	2022-04-23 04:09:51	2022-04-23 04:10:01	45159.08	45160.83	45160.41
K.15	9225330	672639	-	2022-04-23 04:08:16	2022-04-23 04:08:26	2022-04-23 04:08:36	45154.01	45154.25	45153.45
K.16	9225330	672646	-	2022-04-23 04:06:23	2022-04-23 04:06:33	2022-04-23 04:06:43	45218.79	45217.42	45217.05
K.17	9225320	672653	-	2022-04-23 04:04:41	2022-04-23 04:04:51	2022-04-23 04:05:01	45208.92	45207.29	
K.18	9225310	672660	-	2022-04-23 04:03:05	2022-04-23 04:03:16	2022-04-23 04:03:26		45160.15	45158.32
K.19	9225310	672667	-	2022-04-23 04:01:27	2022-04-23 04:01:38	2022-04-23 04:01:49		45275.4	45275.69
K.20	9225300	672674	-	2022-04-23 03:59:57	2022-04-23 04:00:07	2022-04-23 04:00:17	45271.68	45272.97	
K.25	9225260	672709	-	2022-04-23 03:50:15	2022-04-23 03:50:25	2022-04-23 03:50:35	45289.21	45288.47	45287.41
K.26	9225260	672716	-	2022-04-23 03:48:38	2022-04-23 03:48:48	2022-04-23 03:48:58	45268.65	45267.22	45268.21
K.27	9225250	672723	-	2022-04-23 03:47:03	2022-04-23 03:47:13	2022-04-23 03:47:23	45264.28	45263.87	
K.28	9225240	672730	-	2022-04-23 03:45:29	2022-04-23 03:45:40	2022-04-23 03:45:50	45286.88	45286.86	45287.68
K.29	9225230	672738	-	2022-04-23 03:43:49	2022-04-23 03:44:00	2022-04-23 03:44:10	45304.73	45303.88	45304.94
K.30	9225230	672745	-	2022-04-23 03:42:09	2022-04-23 03:42:19	2022-04-23 03:42:29	45315.33	45314.3	
L.01	9225430	672533	-	2022-04-23 04:32:22	2022-04-23 04:32:32	2022-04-23 04:32:42	45103.98		45103.17
L.02	9225420	672540	-	2022-04-23 04:34:02	2022-04-23 04:34:13	2022-04-23 04:34:22		45096.96	45095.73
L.03	9225410	672547	-	2022-04-23 04:35:35	2022-04-23 04:35:45	2022-04-23 04:35:55		45190.7	45190.93
L.07	9225380	672575	-	2022-04-23 04:43:48	2022-04-23 04:43:57	2022-04-23 04:44:07	44826.58	44825.76	
L.08	9225380	672582	-	2022-04-23 04:45:19	2022-04-23 04:45:29	2022-04-23 04:45:39		45070.77	45068.64
L.09	9225370	672589	-	2022-04-23 04:46:51	2022-04-23 04:47:01	2022-04-23 04:47:12	45027.87	45027	45028.31
L.10	9225360	672596	-	2022-04-23 04:49:17	2022-04-23 04:49:27	2022-04-23 04:49:37	45054.21	45052.51	
L.11	9225350	672603	-	2022-04-23 04:50:40	2022-04-23 04:50:50	2022-04-23 04:51:00		45142.12	45144.71
L.14	9225330	672625	-	2022-04-23 07:06:40	2022-04-23 07:06:50	2022-04-23 07:07:00	45120.86	45120.11	45121.21
L.15	9225330	672632	-	2022-04-23 07:08:16	2022-04-23 07:08:26	2022-04-23 07:08:36	45175.4		45174.76
L.16	9225320	672639	-	2022-04-23 07:09:51	2022-04-23 07:10:01	2022-04-23 07:10:11	45147.77	45148.8	45149.6
L.18	9225310	672653	-	2022-04-23 07:13:30	2022-04-23 07:13:41	2022-04-23 07:13:51	45163.53	45163.57	45164.06
L.19	9225300	672660	-	2022-04-23 07:14:54	2022-04-23 07:15:05	2022-04-23 07:15:15	45119.41	45118.09	
L.20	9225290	672667	-	2022-04-23 07:16:16	2022-04-23 07:16:26	2022-04-23 07:16:36		45047.55	45046.19
L.21	9225280	672674	-	2022-04-23 07:17:35	2022-04-23 07:17:46	2022-04-23 07:17:56	44229.16	44231.76	
L.24	9225260	672695	-	2022-04-23 07:21:42	2022-04-23 07:21:52	2022-04-23 07:22:02	45368.14	45367.46	45367.71
L.25	9225260	672702	-	2022-04-23 07:23:09	2022-04-23 07:23:20	2022-04-23 07:23:30		45387.94	45384.45
L.26	9225250	672709	-	2022-04-23 07:24:30	2022-04-23 07:24:40	2022-04-23 07:24:50	45267.58	45267.15	
L.27	9225240	672716	-	2022-04-23 07:25:56	2022-04-23 07:26:06	2022-04-23 07:26:16	45259.26		45259.76
L.28	9225230	672723	-	2022-04-23 07:27:22	2022-04-23 07:27:32	2022-04-23 07:27:42	45256.74	45254.12	
L.29	9225230	672730	-	2022-04-23 07:28:58	2022-04-23 07:29:08	2022-04-23 07:29:18	45357.62	45358.5	45357.36
L.30	9225219	672742	-	2022-04-23 07:33:04	2022-04-23 07:33:14	2022-04-23 07:33:24	45352.66	45352.22	45353.73
M.01	9225420	672526	-	2022-04-23 08:20:33	2022-04-23 08:20:43	2022-04-23 08:20:53	45015.26	45014.38	45015.36
M.02	9225410	672533	-	2022-04-23 08:19:08	2022-04-23 08:19:18	2022-04-23 08:19:28	45024.32	45025.26	45025.01
M.03	9225400	672540	-	2022-04-23 08:17:48	2022-04-23 08:17:58	2022-04-23 08:18:08	45018.83	45018.78	45018.29
M.08	9225370	672575	-	2022-04-23 08:10:08	2022-04-23 08:10:18	2022-04-23 08:10:28	44933.83	44935.4	44934.4
M.09	9225360	672582	-	2022-04-23 08:07:50	2022-04-23 08:08:00	2022-04-23 08:08:10	44822.68	44822.67	
M.10	9225360	672589	-	2022-04-23 08:05:50	2022-04-23 08:06:00	2022-04-23 08:06:10	45051.91	45051.54	
M.11	9225350	672596	-	2022-04-23 08:04:24	2022-04-23 08:04:34	2022-04-23 08:04:45	45061.8	45062.51	45061.73
M.12	9225340	672603	-	2022-04-23 08:03:02	2022-04-23 08:03:12	2022-04-23 08:03:22	45093.8		45095.85
M.13	9225330	672610	-	2022-04-23 08:01:36	2022-04-23 08:01:46	2022-04-23 08:01:56		45020.38	45020.02
M.14	9225330	672617	-	2022-04-23 08:00:07	2022-04-23 08:00:17	2022-04-23 08:00:27	45163.21	45161.19	45161.95
M.15	9225320	672625	-	2022-04-23 07:58:12	2022-04-23 07:58:23	2022-04-23 07:58:33	45119.02	45119.39	45119.42
M.16	9225310	672632	-	2022-04-23 07:56:42	2022-04-23 07:56:52	2022-04-23 07:57:02		45144.08	45143.31
M.17	9225310	672639	-	2022-04-23 07:55:02	2022-04-23 07:55:12	2022-04-23 07:55:22		44761.99	44760.65
M.18	9225300	672646	-	2022-04-23 07:53:14	2022-04-23 07:53:24	2022-04-23 07:53:34	45120.44		45119.94
M.19	9225290	672653	-	2022-04-23 07:51:39	2022-04-23 07:51:49	2022-04-23 07:51:59	45135.32	45135.68	45133.45
M.20	9225280	672660	-	2022-04-23 07:50:13	2022-04-23 07:50:23	2022-04-23 07:50:33		45138.14	45137.43
